ices_code	ices_description	code_type
3212	AMERICAN RANGER	SHIPC
3213	AMERICAN TRADER	SHIPC
3214	AMERICAN TROJAN	SHIPC
3215	ANDERSON  PFC JAMES JR.	SHIPC
3216	APACHE	SHIPC
3217	AQUILA	SHIPC
3218	GENERAL H. H. ARNOLD	SHIPC
3219	AUSTIN	SHIPC
321A	ARCO FAIRBANK	SHIPC
321B	ACANIA	SHIPC
321C	CHOVIE CLIPPER	SHIPC
321D	LAIDLY	SHIPC
321E	ESTOCIN	SHIPC
321F	CAPE FLORIDA	SHIPC
321G	ANTRIM	SHIPC
321H	SCOTT  USS	SHIPC
321I	Little Hercules	SHIPC
321J	GREATLAND	SHIPC
321K	WESTWARD VENTURE	SHIPC
321L	COLORADO	SHIPC
321M	MATACO	SHIPC
321N	ACADIA	SHIPC
321O	PT. BARROW	SHIPC
321P	ADMIRAL CALLAGHAN	SHIPC
321Q	ALGOL	SHIPC
321R	ALLEN	SHIPC
321S	AMERICAN CHALLENGER	SHIPC
321T	AMERICAN CHAMPION	SHIPC
321U	AMERICAN CHARGER	SHIPC
321V	AMERICAN CHIEFTAN	SHIPC
321W	AMERICAN CORSAIR	SHIPC
321X	AMERICAN COURIER	SHIPC
321Y	AMERICAN EAGLE	SHIPC
321Z	AMERICAN MONARCH	SHIPC
3220	JOHN V. VICKERS	SHIPC
3221	MOBIL GAS	SHIPC
3222	ALUMIAK	SHIPC
3223	MONONGAHELA	SHIPC
3224	MONTICELLO	SHIPC
3225	MOUNT BAKER	SHIPC
3226	MOUNT HOOD	SHIPC
3227	MOUNT VERNON	SHIPC
3228	MOUNT WHITNEY	SHIPC
3229	NASHVILLE	SHIPC
322A	STATE ARROW	SHIPC
322B	SEABOB	SHIPC
322C	CAYUGA	SHIPC
322D	C. A. DAMBACH	SHIPC
322E	ESSO KAWASAKI	SHIPC
322F	KOREAN FIR	SHIPC
322G	GURNARD	SHIPC
322H	ESSO HONOLULU	SHIPC
322I	DIXIE ISLE II	SHIPC
322J	SUSAN JEAN	SHIPC
322K	KAMCHATKA	SHIPC
322L	EL SALVATORE	SHIPC
322M	SARIMA	SHIPC
322N	CITY OF OCEAN SIDE	SHIPC
322O	PRINCETON HALL	SHIPC
322P	KOREAN PRIDE	SHIPC
322Q	VEGA-I	SHIPC
322R	SCORPIUS	SHIPC
322S	SUNBEAN	SHIPC
322T	SIGMA-T	SHIPC
322U	SUPERIOR	SHIPC
322V	MERCURY	SHIPC
322W	MERRIMAC	SHIPC
322X	MIDWAY	SHIPC
322Y	CONOLLY	SHIPC
322Z	MISSOURI	SHIPC
3230	MAURICE EWING	SHIPC
3231	Belleau Wood	SHIPC
3232	BITTERSWEET	SHIPC
3233	BLUE RIDGE	SHIPC
3234	2nd Lt. John P.Bobo	SHIPC
3235	BOLSTER	SHIPC
3236	BOULDER	SHIPC
3237	BRADFORD ISLAND	SHIPC
3238	Robert G. Bradley	SHIPC
3239	BRISTOL COUNTY	SHIPC
323A	ALLEGIANCE	SHIPC
323B	BUCCANEER	SHIPC
323C	MISS CHAROLETTE	SHIPC
323D	Ray	SHIPC
323E	EXPORT BUILDER	SHIPC
323F	FULLAM	SHIPC
323G	GRISWOLD	SHIPC
323H	CHALLENGER	SHIPC
323I	THERESA MARIE	SHIPC
323J	ESSO JAPAN	SHIPC
323K	ADMIRAL E. J. KING	SHIPC
323L	AUSTRAL LIGHTNING	SHIPC
323M	AMERICAN DRACO	SHIPC
323N	PENNSYLVANIA	SHIPC
323O	SABLE ISLAND	SHIPC
323P	PACMERCHANT	SHIPC
323Q	SEA-LAND ACHIEVER	SHIPC
323R	RETRIEVER	SHIPC
323S	SEALIFT ATLANTIC	SHIPC
323T	TROJAN	SHIPC
323U	NAVAJO	SHIPC
323V	NAVIGATOR	SHIPC
323W	LEFTWICH	SHIPC
323X	BAY	SHIPC
323Y	BAYAMON	SHIPC
323Z	BEAUFORT	SHIPC
3240	OLYMPIC CHAMPION	SHIPC
3241	John C. Calhoun	SHIPC
3242	CALOOSAHATCHEE	SHIPC
3243	CAMDEN	SHIPC
3244	CAPE VINCENT GANN	SHIPC
3245	CAPELLA	SHIPC
3246	CARR	SHIPC
3247	CATAWBA	SHIPC
3248	CITRUS	SHIPC
3249	CLEVELAND	SHIPC
324A	AL DURIYAH	SHIPC
324B	BROSTROM	SHIPC
324C	CREATION	SHIPC
324D	C. J. DOYLE	SHIPC
324E	ESSO CARIBBEAN	SHIPC
324F	GOLDEN FLEECE	SHIPC
324G	GALAPAGOS	SHIPC
324H	HOBBY	SHIPC
324I	RA-2	SHIPC
324J	Great Pacific	SHIPC
324K	KUSI	SHIPC
324L	LAKE BERRYESSA	SHIPC
324M	MARGUIRTE VENTURE	SHIPC
324N	Muskogee	SHIPC
324O	ALASKAN GYRE	SHIPC
324P	Stump	SHIPC
324Q	Samuel N. Moore	SHIPC
324R	BARBARA MARIE	SHIPC
324S	SUN DANCE	SHIPC
324T	PACSTAR	SHIPC
324U	NEWPORT	SHIPC
324V	NIAGARA FALLS	SHIPC
324W	PRINCE WILLIAM	SHIPC
324X	BRUNSWICK	SHIPC
324Y	BUTTE	SHIPC
324Z	BUYER	SHIPC
3250	THOMAS G. THOMPSON	SHIPC
3251	CONSERVER	SHIPC
3252	CONTENDER	SHIPC
3253	ADAMS	SHIPC
3254	COUNCIL GROVE	SHIPC
3255	Rodney M. Davis	SHIPC
3256	DAWN	SHIPC
3257	DELAWARE SUN	SHIPC
3258	DETROIT	SHIPC
3259	DRAGAMINAS	SHIPC
325A	AUBURN	SHIPC
325B	MOOSBRUGGER	SHIPC
325C	CITY OF LONG BEACH	SHIPC
325D	J. RODGERS	SHIPC
325E	ENGSTROM	SHIPC
325F	NIMITZ	SHIPC
325G	NITRO	SHIPC
325H	NORTHERN LIGHT	SHIPC
325I	SYCAMORE	SHIPC
325J	PFC EUGENE A OBREGON	SHIPC
325K	O'Brien	SHIPC
325L	LOLLY	SHIPC
325M	MAUNA WILI	SHIPC
325N	M.R. NAWMAN	SHIPC
325O	SEALTH	SHIPC
325P	PIONEER MELLENIUM FALCON	SHIPC
325Q	H.R. KENYON	SHIPC
325R	ROYALTY I	SHIPC
325S	SHIMADA	SHIPC
325T	TREY-B	SHIPC
325U	OGDEN	SHIPC
325V	OGDEN CHARGER	SHIPC
325W	WM. SEIVERLING	SHIPC
325X	CLOVER	SHIPC
325Y	CONCORD	SHIPC
325Z	CONIFER	SHIPC
3260	Doherty	SHIPC
3261	DWIGHT D. EISENHOWER	SHIPC
3262	ELROD	SHIPC
3263	ESCAPE	SHIPC
3264	EXPORT CHAMPION	SHIPC
3265	EXXON WASHINGTON	SHIPC
3266	FALCON CHAMPION	SHIPC
3267	FALCON LEADER	SHIPC
3268	FIFE	SHIPC
3269	FIREBUSH	SHIPC
326A	AHRENS	SHIPC
326B	BANCROFT	SHIPC
326C	CHARR	SHIPC
326D	EWING	SHIPC
326E	LIVERMORE	SHIPC
326F	OKINAWA	SHIPC
326G	OVERSEAS ALICE	SHIPC
326H	OVERSEAS HARRIETTE	SHIPC
326I	RA-1	SHIPC
326J	OVERSEAS MARILYN	SHIPC
326K	OVERSEAS VALDEZ	SHIPC
326L	LITTLE	SHIPC
326M	MIDEGON	SHIPC
326N	REGISTER	SHIPC
326O	FA2807	SHIPC
326P	PARISH	SHIPC
326Q	KEY WEST	SHIPC
326R	REBEN	SHIPC
326S	SATELLITE	SHIPC
326T	CARIBOU REEFER II	SHIPC
326U	EBBCO	SHIPC
326V	ORLANDO	SHIPC
326W	SWEARER	SHIPC
326X	DURHAM	SHIPC
326Y	EAGLE LEADER	SHIPC
326Z	EDENTON	SHIPC
3270	RHODOLITE	SHIPC
3271	Thomas S. Gates	SHIPC
3272	SAMUEL GOMPERS	SHIPC
3273	GREEN FOREST	SHIPC
3274	GREEN PORT	SHIPC
3275	GREEN SPRINGS	SHIPC
3276	GREEN WAVE	SHIPC
3277	NOAA-14	SHIPC
3278	GULF QUEEN	SHIPC
3279	HALEAKALA 8AE-25)	SHIPC
327A	TALAMANCA	SHIPC
327B	BEAUMONT	SHIPC
327C	Gulfport	SHIPC
327D	CAPE	SHIPC
327E	TEAK	SHIPC
327F	PARCHE	SHIPC
327G	PAWCATUCK	SHIPC
327H	PEGASUS	SHIPC
327I	FA2808	SHIPC
327J	PELILEU	SHIPC
327K	PENNSYLVANIA SUN	SHIPC
327L	H. O'MALLEY	SHIPC
327M	MISSISSIPPI	SHIPC
327N	Isabel S.	SHIPC
327O	FA2805	SHIPC
327P	POCAPELLO	SHIPC
327Q	PC-790	SHIPC
327R	ROUNSEFELL	SHIPC
327S	1823	SHIPC
327T	TEXAS	SHIPC
327U	PVT HARRY FISHER	SHIPC
327V	AUBREY FITCH	SHIPC
327W	FORD	SHIPC
327X	PHILIP FOSS	SHIPC
327Y	FREDERICK	SHIPC
327Z	FRESNO	SHIPC
3280	SEA-LAND NAVIGATOR	SHIPC
3281	IWO JIMA	SHIPC
3282	JAMES  REUBEN	SHIPC
3283	SAN JOSE	SHIPC
3284	JUPITER	SHIPC
3285	Kalamazoo	SHIPC
3286	KANSAS CITY	SHIPC
3287	KAUFFMAN	SHIPC
3288	JOHN F. KENNEDY	SHIPC
3289	KISKA	SHIPC
328A	John L. Hall	SHIPC
328B	BENSON	SHIPC
328C	POINT LOBOS	SHIPC
328D	YTL-688	SHIPC
328E	EL GRECO	SHIPC
328F	PENNSYLVANIA TRADER	SHIPC
328G	PEORIA	SHIPC
328H	PIONEER COMMANDER	SHIPC
328I	RA-4	SHIPC
328J	PIONEER CONTENDER	SHIPC
328K	PIONEER CONTRACTOR	SHIPC
328L	PALMER	SHIPC
328M	MADISON	SHIPC
328N	H.C. THOMAS	SHIPC
328O	FA2806	SHIPC
328P	PANDALUS	SHIPC
328Q	SEA-LAND PACIFIC	SHIPC
328R	RHIND	SHIPC
328S	SANDERS	SHIPC
328T	TONYA AND JOE	SHIPC
328U	HARLAN COUNTY	SHIPC
328V	CPL LOUIS J. HAUGE	SHIPC
328W	HERCULES	SHIPC
328X	HERMITAGE	SHIPC
328Y	HOLLYHOCK	SHIPC
328Z	IOWA	SHIPC
3290	GEOSAT	SHIPC
3291	MCKEE	SHIPC
3292	VARIOUS SMALL VESSELS	SHIPC
3293	SANTA JUANA	SHIPC
3294	SOHIO INTREPID	SHIPC
3295	AMERICAN CORMORANT	SHIPC
3296	AMERICAN RELIANCE	SHIPC
3297	OVERSEAS ALEUTIAN	SHIPC
3298	ALEUTIAN DEVELOPER	SHIPC
3299	UNKNOWN	SHIPC
329A	KLAKRING	SHIPC
329B	BOARFISH	SHIPC
329C	SGT. MATEJ KOCAK	SHIPC
329D	LA MOURE COUNTY	SHIPC
329E	HARRIOT LANE	SHIPC
329F	LAPON	SHIPC
329G	LEXINGTON	SHIPC
329H	LONG LINES	SHIPC
329I	TRITON	SHIPC
329J	LOUISIANA GETTY	SHIPC
329K	ELIZABETH LYKES	SHIPC
329L	NOAA LAUNCHES	SHIPC
329M	MARCASITE	SHIPC
329N	NOII	SHIPC
329O	WHISKEY PASS	SHIPC
329P	PORT TAURANGA	SHIPC
329Q	BALD EAGLE	SHIPC
329R	R. M. ROWELL	SHIPC
329S	SEDERSTROM	SHIPC
329T	ONTARIO	SHIPC
329U	LOUISE LYKES	SHIPC
329V	MALLORY LYKES	SHIPC
329W	MASON LYKES	SHIPC
329X	LYRA	SHIPC
329Y	MANITOWOC	SHIPC
329Z	J. M. MARTINAC	SHIPC
32A0	AL JO	SHIPC
32A1	ADMIRABLE	SHIPC
32A2	ADRIA	SHIPC
32A3	ALCHIBA	SHIPC
32A4	ALDEBARAN	SHIPC
32A5	ALLAGASH	SHIPC
32A6	AMICK	SHIPC
32A7	ANTARES	SHIPC
32A8	ATLAS	SHIPC
32A9	ANNE  M.	SHIPC
32AA	AMERICAN MAIL	SHIPC
32AB	AFRICAN STAR	SHIPC
32AC	AFRICAN COMET	SHIPC
32AD	ADVANCE II	SHIPC
32AE	ALEUTIAN	SHIPC
32AF	AFRICAN METEOR	SHIPC
32AG	ANELA	SHIPC
32AH	AINWORTH	SHIPC
32AI	AMIGO	SHIPC
32AJ	ALCONA	SHIPC
32AK	ALASKAN MAIL	SHIPC
32AL	ALBACORE	SHIPC
32AM	AMBASSADOR	SHIPC
32AN	ANCHORAGE	SHIPC
32AO	ALTAMAHA	SHIPC
32AP	AMETHYST	SHIPC
32AQ	AQUARIUS	SHIPC
32AR	ARTEMIS	SHIPC
32AS	ALCOA SEAPROBE	SHIPC
32AT	ANTONIA  C.	SHIPC
32AU	ARGUS	SHIPC
32AV	ATLANTIC	SHIPC
32AW	ATLANTIC TWIN	SHIPC
32AX	ARGUE MARTIN	SHIPC
32AY	ANNA MARIE	SHIPC
32AZ	MARINE CRUISER	SHIPC
32B0	CAPT. BRADY J	SHIPC
32B1	BLANK	SHIPC
32B2	BILLIE II	SHIPC
32B3	BOGGS	SHIPC
32B4	BRAZOS	SHIPC
32B5	BRIDGE	SHIPC
32B6	J. C. BUTLER	SHIPC
32B7	PACBARON	SHIPC
32B8	PACBARONESS	SHIPC
32B9	BETTIE M	SHIPC
32BA	BAGLEY	SHIPC
32BB	BARBEY	SHIPC
32BC	BARBOUR COUNTY	SHIPC
32BD	BALDUCK	SHIPC
32BE	D. C. BARNES	SHIPC
32BF	BETELGEUSE	SHIPC
32BG	BANGUST	SHIPC
32BH	BETTY  H.	SHIPC
32BI	BROADBILL	SHIPC
32BJ	J. L. BROWN	SHIPC
32BK	BOREAS	SHIPC
32BL	BLUENOSE	SHIPC
32BM	BELTRAMI	SHIPC
32BN	BANNER	SHIPC
32BO	BARON	SHIPC
32BP	BIG VALLEY	SHIPC
32BQ	BARNSTABLE COUNTY	SHIPC
32BR	R. S. BULL	SHIPC
32BS	BLUE SEA II	SHIPC
32BT	BUTTERNUT	SHIPC
32BU	BUNO 149667	SHIPC
32BV	BEAVER	SHIPC
32BW	EL BARTLETT	SHIPC
32BX	BALBOA	SHIPC
32BY	BONDY	SHIPC
32BZ	R. BRAZIER	SHIPC
32C0	CAJUN SPECIAL	SHIPC
32C1	CALAMARES	SHIPC
32C2	CALIFORNIA ROSE	SHIPC
32C3	COLUMBIA	SHIPC
32C4	COMINDIV	SHIPC
32C5	CRANE	SHIPC
32C6	COPAHEE	SHIPC
32C7	CHRISTINA  C.	SHIPC
32C8	CHEVRON HAWAII	SHIPC
32C9	CAPODANNO	SHIPC
32CA	CATALYST	SHIPC
32CB	W. B. COBB	SHIPC
32CC	CHEVRON CALIFORNIA	SHIPC
32CD	H. D. COLLIER	SHIPC
32CE	CHANDELEUR	SHIPC
32CF	CLOVES	SHIPC
32CG	CHENANGO	SHIPC
32CH	CHAUVENET	SHIPC
32CI	CIMARRON	SHIPC
32CJ	COLUMBIA RIVER	SHIPC
32CK	CHEROKEE	SHIPC
32CL	CALAMAR	SHIPC
32CM	CHEVRON MISSISSIPPI	SHIPC
32CN	CORMORANT	SHIPC
32CO	CORONADO	SHIPC
32CP	CAPERTON	SHIPC
32CQ	CONQUEST	SHIPC
32CR	CARLSON	SHIPC
32CS	Cushing	SHIPC
32CT	COMBAT	SHIPC
32CU	CHILULA	SHIPC
32CV	CAVALLARO	SHIPC
32CW	CAPE HENLOPEN	SHIPC
32CX	CUYAMA	SHIPC
32CY	CHERYL MARIE	SHIPC
32CZ	CONSTELLATION	SHIPC
32D0	DEMERSAL	SHIPC
32D1	SEALIFT PACIFIC	SHIPC
32D2	DAVIDSON	SHIPC
32D3	DEEP SEA	SHIPC
32D4	DEEP SIX	SHIPC
32D5	DEARBORN	SHIPC
32D6	INDEPENDENCE	SHIPC
32D7	PACDUCHESS	SHIPC
32D8	PACDUKE	SHIPC
32D9	SEA SOUNDER	SHIPC
32DA	DAUNTLESS	SHIPC
32DB	DRIFTING PLATFORM	SHIPC
32DC	DALLAS HERRING	SHIPC
32DD	DUBUQUE	SHIPC
32DE	BOLD CONTENDER	SHIPC
32DF	DENISE MARIE	SHIPC
32DG	DUTCH GIRL	SHIPC
32DH	DASHIELL	SHIPC
32DI	DILIGENCE	SHIPC
32DJ	DOMINATOR	SHIPC
32DK	DAVID AND KATY	SHIPC
32DL	MEDRIANA	SHIPC
32DM	DELTA MAR	SHIPC
32DN	DELTA NORTE	SHIPC
32DO	DELTA ORO	SHIPC
32DP	DECCA PROFILER	SHIPC
32DQ	DELTA ECUADOR	SHIPC
32DR	DORTCH	SHIPC
32DS	DELTA SUD	SHIPC
32DT	DANT	SHIPC
32DU	DUFFY	SHIPC
32DV	CAPE COD	SHIPC
32DW	DIANE MARIE	SHIPC
32DX	D. R. RAY	SHIPC
32DY	SHELBY D	SHIPC
32DZ	DENVER	SHIPC
32E0	Thach	SHIPC
32E1	ESSO LIGURIA	SHIPC
32E2	ESSO LEXINGTON	SHIPC
32E3	ENTERPRISE	SHIPC
32E4	ELLIOT	SHIPC
32E5	CENTURION	SHIPC
32E6	SCHENECTADY	SHIPC
32E7	ESSO KAGOSHIMA	SHIPC
32E8	ESSO GENEVA	SHIPC
32E9	EVELYN DA ROSA	SHIPC
32EA	EL CANO	SHIPC
32EB	ELDEN	SHIPC
32EC	C. J. ELIZABETH	SHIPC
32ED	EXPORT DEFENDER	SHIPC
32EE	EMERY	SHIPC
32EF	EMPRESS	SHIPC
32EG	SEA TREASURE	SHIPC
32EH	ESSO AFRICA	SHIPC
32EI	SEALIFT CARIBBEAN	SHIPC
32EJ	ELIZABETH ANN	SHIPC
32EK	ESSO MADRID	SHIPC
32EL	ELIZABETHPORT	SHIPC
32EM	EILEEN  M.	SHIPC
32EN	EXXON NEWARK	SHIPC
32EO	EL PASO	SHIPC
32EP	ESSO PUERTO RICO	SHIPC
32EQ	METEOR	SHIPC
32ER	ERBEN	SHIPC
32ES	ESSO SCOTIA	SHIPC
32ET	B. ESTHER	SHIPC
32EU	EUGENIE VIII	SHIPC
32EV	ENDEAVOR	SHIPC
32EW	ESSO WILHELMSHAVEN	SHIPC
32EX	MARCONA EXPORTER	SHIPC
32EY	EASTERN PACIFIC	SHIPC
32EZ	ELSINORE	SHIPC
32F0	ANGES FOSS	SHIPC
32F1	JUSTIN FOSS	SHIPC
32F2	FINANCE	SHIPC
32F3	PRESIDENT FILLMORE	SHIPC
32F4	POINT FRANCIS	SHIPC
32F5	SEA STAR	SHIPC
32F6	PACIFIC ARROW	SHIPC
32F7	FLATLEY	SHIPC
32F8	BEAGLE III	SHIPC
32F9	VIVA	SHIPC
32FA	FAIRLAND	SHIPC
32FB	SEALIFT ARABIAN SEA	SHIPC
32FC	FALCON COUNTESS	SHIPC
32FD	FALCON DUCHESS	SHIPC
32FE	FREMONT	SHIPC
32FF	FORT FISHER	SHIPC
32FG	Fahrion	SHIPC
32FH	FRENCH	SHIPC
32FI	FINNEGAN	SHIPC
32FJ	CALLAGHAN	SHIPC
32FK	FYKE	SHIPC
32FL	FRANCES ANN	SHIPC
32FM	FORMOE	SHIPC
32FN	FORT NIAGARA	SHIPC
32FO	FOREMAN	SHIPC
32FP	FORAGER	SHIPC
32FQ	FLORIDA QUEEN	SHIPC
32FR	T. E. FRASER	SHIPC
32FS	FIXED STATIONS	SHIPC
32FT	P. F. FOSTER	SHIPC
32FU	BALTIC SEAL	SHIPC
32FV	ROSS SEAL	SHIPC
32FW	BLACK SEAL	SHIPC
32FX	Potomac	SHIPC
32FY	FRYBARGER	SHIPC
32FZ	PACIFIC HARVESTER	SHIPC
32G0	FOSS  DREW	SHIPC
32G1	GALLOWAY	SHIPC
32G2	GENIE II	SHIPC
32G3	GILMORE	SHIPC
32G4	GRACE	SHIPC
32G5	SPIEGEL GROVE	SHIPC
32G6	GUADALCANAL	SHIPC
32G7	GRANADA	SHIPC
32G8	SUB SIG II	SHIPC
32G9	COMTE DE GRASSE	SHIPC
32GA	GALATEA	SHIPC
32GB	GOLDEN BEAR	SHIPC
32GC	GWIN	SHIPC
32GD	GENDREAU	SHIPC
32GE	GLOMAR EXPLORER	SHIPC
32GF	GOLDEN WEST	SHIPC
32GG	GUAM	SHIPC
32GH	GROWLER	SHIPC
32GI	GENTRY	SHIPC
32GJ	Stephen W. Groves	SHIPC
32GK	GINA KAREN	SHIPC
32GL	GILLIGAN	SHIPC
32GM	GEMINI	SHIPC
32GN	GINA ANNE	SHIPC
32GO	GEORGE	SHIPC
32GP	GLOMAR CONCEPTION	SHIPC
32GQ	OCEAN HARVESTER	SHIPC
32GR	GULF RESEARCHER	SHIPC
32GS	SNOW GOOSE	SHIPC
32GT	GULF TRADER	SHIPC
32GU	GUEST	SHIPC
32GV	TRUMAN	SHIPC
32GW	GLADWYNE	SHIPC
32GX	Grayling	SHIPC
32GY	GYRE	SHIPC
32GZ	AMAK	SHIPC
32H0	SIDNEY FOSS	SHIPC
32H1	HEALY	SHIPC
32H2	HEERMANN	SHIPC
32H3	HUMDINGER	SHIPC
32H4	CHARLESTON	SHIPC
32H5	HAWAII	SHIPC
32H6	HUDSON	SHIPC
32H7	PRESIDENT HARRISON	SHIPC
32H8	HOIST	SHIPC
32H9	O. H. PERRY	SHIPC
32HA	T. C. HART	SHIPC
32HB	HRB	SHIPC
32HC	HAWAIIAN CITIZEN	SHIPC
32HD	HAMMONDSPORT	SHIPC
32HE	HAWAIIAN ENTERPRISE	SHIPC
32HF	S. HYDROHUT	SHIPC
32HG	HORNBEAM	SHIPC
32HH	HUTCHINSON	SHIPC
32HI	HICKOX	SHIPC
32HJ	HARRY W. HILL	SHIPC
32HK	HONG KONG MAIL	SHIPC
32HL	HAILEY	SHIPC
32HM	HAMBLETON	SHIPC
32HN	HAWAIIAN	SHIPC
32HO	HOWARD	SHIPC
32HP	HELICOPTER	SHIPC
32HQ	HAWAIIAN QUEEN	SHIPC
32HR	HUMBLE	SHIPC
32HS	HAWAII STANDARD	SHIPC
32HT	HITCHITI	SHIPC
32HU	HUNLEY	SHIPC
32HV	HYDRA	SHIPC
32HW	HEWITT	SHIPC
32HX	SHANNON	SHIPC
32HY	HYDOR	SHIPC
32HZ	D. W. HOOD	SHIPC
32I0	BOLD	SHIPC
32I1	OCEAN STARR	SHIPC
32I2	C. J. MARIA	SHIPC
32I3	MARTY B	SHIPC
32I4	MARY ANTONETTA	SHIPC
32I5	MARY BARBARA	SHIPC
32I6	MARY S	SHIPC
32I7	MERMAID	SHIPC
32I8	MISSOURI	SHIPC
32I9	SITKA SPRUCE	SHIPC
32IA	MARLA MARIA	SHIPC
32IB	BEACH AND INTERTIDAL SITES	SHIPC
32IC	COLUMBUS ISELIN	SHIPC
32ID	IDAHO	SHIPC
32IE	MARY ELIZABETH	SHIPC
32IF	Hayler	SHIPC
32IG	IDA GREEN	SHIPC
32IH	HOLO HOLO	SHIPC
32II	Gallery	SHIPC
32IJ	PACIFIC SUNSHINE	SHIPC
32IK	AUDREY LYNN	SHIPC
32IL	INDIAN SEAL	SHIPC
32IM	INDIAN MAIL	SHIPC
32IN	INCHON	SHIPC
32IO	PACIFIC TRADER	SHIPC
32IP	INDEPENDENCE	SHIPC
32IQ	IROQUOIS	SHIPC
32IR	RICHMOND BRIDGE	SHIPC
32IS	IDAHO STANDARD	SHIPC
32IT	J. SMITH	SHIPC
32IU	ESSO HAWAII	SHIPC
32IV	EDGERTON	SHIPC
32IW	Sides	SHIPC
32IX	Crommelin	SHIPC
32IY	MAHLON S. TISDALE	SHIPC
32IZ	Deyo	SHIPC
32J0	AUSTRAL ENVOY	SHIPC
32J1	JO-LINDA	SHIPC
32J2	CAPT JACK	SHIPC
32J3	JUNEAU	SHIPC
32J4	JENNIE & JACKIE	SHIPC
32J5	J. HANCOCK	SHIPC
32J6	ESSO OSAKA	SHIPC
32J7	Ticonderoga	SHIPC
32J8	Bunker Hill	SHIPC
32J9	Hawes	SHIPC
32JA	JASPER	SHIPC
32JB	C. JEANETTE	SHIPC
32JC	PRESIDENT PIERCE	SHIPC
32JD	PRESIDENT MADISON	SHIPC
32JE	JEAN A.	SHIPC
32JF	PRESIDENT JEFFERSON	SHIPC
32JG	JIM LYTAL	SHIPC
32JH	PRESIDENT JOHNSON	SHIPC
32JI	JINITA	SHIPC
32JJ	J. JONES	SHIPC
32JK	GEORGENE	SHIPC
32JL	PRESIDENT POLK	SHIPC
32JM	JOAN MARIE	SHIPC
32JN	CAPT JOE MEDINA	SHIPC
32JO	JOHNSON	SHIPC
32JP	De Wert	SHIPC
32JQ	QUEST	SHIPC
32JR	PRESIDENT MONROE	SHIPC
32JS	JAVA SEAL	SHIPC
32JT	JARRETT	SHIPC
32JU	ARCO JUNEAU	SHIPC
32JV	McClusky	SHIPC
32JW	JOHN DEWOLF	SHIPC
32JX	LIONS GATE BRIDGE	SHIPC
32JY	ESSO ATLANTIC	SHIPC
32JZ	ESSO PACIFIC	SHIPC
32K0	SEA WATCH	SHIPC
32K1	MAUNA KEA	SHIPC
32K2	KINKAID	SHIPC
32K3	KING OSCAR	SHIPC
32K4	TAKU	SHIPC
32K5	MARK I	SHIPC
32K6	PACIFIC QUEEN	SHIPC
32K7	POLARIS	SHIPC
32K8	ALUMINIAK	SHIPC
32K9	KEYWATCHER	SHIPC
32KA	KATHLEEN	SHIPC
32KB	MALKA	SHIPC
32KC	KATHERINE LISH	SHIPC
32KD	KDCB	SHIPC
32KE	M. KERRI	SHIPC
32KF	KARLUK	SHIPC
32KG	ESSO MEDITERRANEAN	SHIPC
32KH	KITTY HAWK	SHIPC
32KI	C. J. KIMMEL	SHIPC
32KJ	ESSO COPENHAGEN	SHIPC
32KK	KANA KEOKI	SHIPC
32KL	KAILUA	SHIPC
32KM	KOREAN MAIL	SHIPC
32KN	KNAPP	SHIPC
32KO	ARCATIA	SHIPC
32KP	T-KIP IV	SHIPC
32KQ	ESSO HAMBURG	SHIPC
32KR	KAREN MARY	SHIPC
32KS	KASKASKIA	SHIPC
32KT	T. KAREN	SHIPC
32KU	ESSO LE HAVRE	SHIPC
32KV	KEVIN MORAN	SHIPC
32KW	ESSO INDONESIA	SHIPC
32KX	ESSO TOKYO	SHIPC
32KY	ESSO NEDERLAND	SHIPC
32KZ	CAPE HATTERAS	SHIPC
32L0	LITTLE DIPPER	SHIPC
32L1	LAMSON	SHIPC
32L2	ALAMO	SHIPC
32L3	LUSTY	SHIPC
32L4	CALYPSO	SHIPC
32L5	CITY OF SAN DIEGO	SHIPC
32L6	LINDBLAD EXPLORER	SHIPC
32L7	EXCELLENCE	SHIPC
32L8	MALASPINA	SHIPC
32L9	POLAR SEA	SHIPC
32LA	LA SALLE	SHIPC
32LB	ALUMIAC	SHIPC
32LC	LCI X990	SHIPC
32LD	CALIFORNIA	SHIPC
32LE	LASSEN	SHIPC
32LF	F. LEWIS	SHIPC
32LG	LADY OLGA	SHIPC
32LH	LONGHORN	SHIPC
32LI	LIDDLE	SHIPC
32LJ	CAROL S	SHIPC
32LK	CAROL VIRGINIA	SHIPC
32LL	L'OLONNOIS	SHIPC
32LM	LADY MADELAINE	SHIPC
32LN	LOS ANGELES	SHIPC
32LO	CONCHO	SHIPC
32LP	LIPAN	SHIPC
32LQ	LADY GLORIA	SHIPC
32LR	ATLANTIC STAR	SHIPC
32LS	LUCKY STRIKE	SHIPC
32LT	LASH ATLANTICO	SHIPC
32LU	LASH TURKIYE	SHIPC
32LV	LOIS SEAVER	SHIPC
32LW	LAWAIA	SHIPC
32LX	AMATULI	SHIPC
32LY	LYMAN	SHIPC
32LZ	ALEUTIAN TERN	SHIPC
32M0	MOBILE BAY	SHIPC
32M1	MARIAS	SHIPC
32M2	M. S. MYERS	SHIPC
32M3	MCCONNELL	SHIPC
32M4	MARY LOU	SHIPC
32M5	MARCHAND	SHIPC
32M6	MISSISSINEWA	SHIPC
32M7	MELVIN	SHIPC
